artist,album,release_date,ratings
R.E.M.,Automatic for the People,14/11/2017,9.3
Golden Teacher,No Luscious Life,14/11/2017,6.9
"Slaughter Beach, Dog",Birdie,14/11/2017,6.8
Champion,Snapshot,14/11/2017,6.8
Taylor Swift,Reputation,13/11/2017,6.5
Kamaiyah,Before I Wake,13/11/2017,7.7
Lee Gamble,Mnestic Pressure,13/11/2017,7
Armand Hammer,ROME,13/11/2017,8.1
Nico,Chelsea Girl,12/11/2017,8.9
Yung Lean,Stranger,11/11/2017,6.8
U-Men,U-Men,11/11/2017,8.2
M.E.S.H.,Hesaitix,11/11/2017,7.6
Bed Wettin' Bad Boys,Rot,11/11/2017,7.3
Angel Olsen,Phases,10/11/2017,7.9
Call Super,Arpo,10/11/2017,8
Pharoah Sanders,Tauhid,10/11/2017,8.2
Rabit,Les Fleurs Du Mal,10/11/2017,7.6
Sleigh Bells,Kid Kruschev,09/11/2017,6.4
Willow,The 1st,09/11/2017,6.7
Kllo,Backwater,09/11/2017,6.3
Curls,Vante EP,09/11/2017,6.6
Maroon 5,Red Pill Blues,08/11/2017,4.8
Zazou/Bikaye/CY1,Noir et Blanc,08/11/2017,8.2
Peter Oren,Anthropocene,08/11/2017,7.1
James Holden,The Animal Spirits,08/11/2017,7.4
Sam Smith,The Thrill of It All ,07/11/2017,5.8
Yaeji,EP2,07/11/2017,8.1
SASSY 009  ,Do You Mind EP,07/11/2017,6.2
DJ Seinfeld,Time Spent Away From U,07/11/2017,6.9
Husker Du,Savage Young Du,06/11/2017,9
Daniele Luppi,MILANO,06/11/2017,7.5
Jonti,Tokorats,06/11/2017,5
Helena Hauff,"Have You Been There, Have You Seen It EP",06/11/2017,7.8
Sarah McLachlan,Fumbling Towards Ecstasy,05/11/2017,8.2
Bibio,Phantom Brickworks,04/11/2017,8.2
Bob Dylan,Trouble No More: The Bootleg Series Vol. 13 / 1979-1981,04/11/2017,8.1
Gunn-Truscinski Duo,Bay Head,04/11/2017,7.5
Alexis Georgopoulos,Fragments of a Season,04/11/2017,6.8
21 Savage,Without Warning,03/11/2017,8
Shamir,Revelations,03/11/2017,5.9
Errorsmith ,Superlative Fatigue,03/11/2017,7.9
Trupa Trupa,Jolly New Songs,03/11/2017,6.7
Converge,The Dusk in Us,02/11/2017,8.2
Grandaddy,Under the Western Freeway,02/11/2017,8.1
Yo Gotti,I Still Am,02/11/2017,6.1
Visionist,Value,02/11/2017,7
Ty Dolla $ign,Beach House 3,01/11/2017,7.8
Kyle Dixon,Stranger Things 2 (A Netflix Original Series Soundtrack),01/11/2017,7.2
Majid Jordan,The Space Between,01/11/2017,7.4
Odonis Odonis,No Pop,01/11/2017,8.1
Misfits,Walk Among Us,31/10/2017,9.4
Misfits,Static Age,31/10/2017,8.8
Danzig,Danzig,31/10/2017,8.5
Danzig,Danzig III: How the Gods Kill,31/10/2017,8.7
Fever Ray,Plunge,30/10/2017,8.7
Big K.R.I.T.,4eva Is a Mighty Long Time,30/10/2017,7.3
Wild Beasts,Punk Drunk and Trembling EP,30/10/2017,7
Bell Witch,Mirror Reaper,30/10/2017,8
Margo Price,All American Made,30/10/2017,7.6
Yo La Tengo,I Can Hear the Heart Beating as One,29/10/2017,9.7
John Maus,Screen Memories,28/10/2017,8
Daphni,Joli Mai,28/10/2017,6.8
Young Dolph,Thinking Out Loud,28/10/2017,7.4
Brent Faiyaz  ,Sonder Son,28/10/2017,6.1
Julien Baker,Turn Out the Lights,27/10/2017,8.6
Nai Palm,Needle Paw,27/10/2017,8
Colleen,"A flame my love, a frequency",27/10/2017,7.8
Radiator Hospital,Play the Songs You Like,27/10/2017,6
Weezer,Pacific Daydream,26/10/2017,4.3
George Michael,Listen Without Prejudice Vol. 1,26/10/2017,8.8
Honey Dijon ,The Best of Both Worlds,26/10/2017,7.5
William Patrick Corgan,Ogilala,26/10/2017,5.7
Jackie Shane,Any Other Way,25/10/2017,8.5
Lindstrom,It's Alright Between Us as It Is,25/10/2017,6.5
CCFX,CCFX EP,25/10/2017,7.5
Various Artist,Tokyo Flashback,25/10/2017,8.3
Future,Super Slimey,24/10/2017,7.1
Bully,Losing,24/10/2017,7.2
The Front Bottoms,Going Grey,24/10/2017,5.8
Exhumed,Death Revenge,24/10/2017,6.9
Jessie Ware,Glasshouse,23/10/2017,8
John Carpenter,Anthology: Movie Themes 1974-1998,23/10/2017,8
William Eggleston,Musik,23/10/2017,6.4
Makthaverskan,III,23/10/2017,7.6
A. Savage,Thawing Dawn,23/10/2017,7.2
The Smiths,The Queen is Dead,22/10/2017,10
Wu-Tang,The Saga Continues,21/10/2017,4.5
Juju & Jordash,Sis-boom-bah!,21/10/2017,7.5
Christian Scott aTunde Adjuah,Ruler Rebel,21/10/2017,7.6
Nazoranai,"Beginning to Fall in Line Before Me, So Decorously, the Nature of All That Must Be Transformed",21/10/2017,7.9
Destroyer,ken,20/10/2017,7.9
Circuit Des Yeux,Reaching for Indigo,20/10/2017,8.2
The Jam,In the City,20/10/2017,8.5
G Herbo,Humble Beast,20/10/2017,7.8
Gucci Mane,Mr. Davis,19/10/2017,7.4
Tegan and Sara,The Con X: Covers,19/10/2017,6.5
D.K. / S.K.,D.K. / S.K. EP,19/10/2017,6.7
Citizen,As You Please,19/10/2017,6.5
dvsn,Morning After,18/10/2017,7.6
Giggs,Wamp 2 Dem,18/10/2017,7.5
Byron Westbrook,Body Consonance,18/10/2017,7.7
YoungBoy Never Broke Again,Ain't Too Long,18/10/2017,7.4
Beck,Colors,17/10/2017,6.3
Stars,There Is No Love in Fluorescent Light,17/10/2017,7.2
Abra,Rose,17/10/2017,6.6
TOKiMONSTA,Lune Rouge,17/10/2017,6.8
St. Vincent,Masseduction,16/10/2017,7.6
Trippie Redd,A Love Letter to You 2,16/10/2017,6.4
King Khan,Murderburgers,16/10/2017,6.4
Sun Ra and His Arkestra,The Magic City,16/10/2017,8.5
Brian Eno,Wrong Way Up,15/10/2017,8.7
Cults,Offering,14/10/2017,6.6
Levon Vincent,For Paris,14/10/2017,7.7
Richard Horowitz,Eros in Arabia,14/10/2017,7.8
NHK yx koyxen,Exit Entrance,14/10/2017,7.4
King Krule,The OOZ,13/10/2017,9
Weaves,Wide Open,13/10/2017,7.2
Fatima Al Qadiri,Shaneera EP,13/10/2017,7.6
Melkbelly,Nothing Valley ,13/10/2017,7.5
Courtney Barnett,Lotta Sea Lice,12/10/2017,7.6
The Darkness,Pinewood Smile,12/10/2017,4.8
Blue Hawaii,Tenderness,12/10/2017,7.2
Lil Pump,Lil Pump,12/10/2017,6.9
Wolf Parade,Cry Cry Cry,11/10/2017,6.7
Torres,Three Futures,11/10/2017,8
Marilyn Manson,Heaven Upside Down,11/10/2017,5.9
Smokepurpp,DEADSTAR,11/10/2017,6.2
Tom Petty,Damn the Torpedoes,10/10/2017,9.2
Tom Petty,Full Moon Fever,10/10/2017,8.1
Tom Petty,Tom Petty and the Heartbreakers,10/10/2017,7
Tom Petty,Wildflowers,10/10/2017,8.8
The Replacements,For Sale: Live at Maxwell's 1986,09/10/2017,8.7
The Weather Station,The Weather Station ,09/10/2017,8
Kele Okereke,Fatherland,09/10/2017,6.5
Alex Lahey,I Love You Like a Brother,09/10/2017,7.6
Special Request,Belief System,09/10/2017,6.4
Wyclef Jean,The Carnival,08/10/2017,8
Common,Electric Circus,07/10/2017,8.4
Standing on the Corner,Red Burns,07/10/2017,8
Cecile McLorin Salvant,Dreams and Daggers,07/10/2017,7.6
Ziur,U Feel Anything?,07/10/2017,7.1
Kelela,Take Me Apart,06/10/2017,8.6
Kaitlyn Aurelia Smith,The Kid,06/10/2017,8.1
Deradoorian,Eternal Recurrence,06/10/2017,7.4
Various Artist,Josie and the Pussycats--Music from the Motion Picture,06/10/2017,7.5
Liam Gallagher,As You Were,05/10/2017,4.9
A Boogie Wit Da Hoodie,The Bigger Artist,05/10/2017,7
Jhene Aiko,Trip,05/10/2017,6.7
Omni,Multi-task,05/10/2017,7.2
Ibeyi,Ash,04/10/2017,8.3
Demi Lovato,Tell Me You Love Me,04/10/2017,7.2
Iglooghost,Neo Wax Bloom,04/10/2017,7.3
Jon Hassell,Dream Theory in Malaya: Fourth World Volume Two,04/10/2017,8.4
Four Tet,New Energy,03/10/2017,8
Chelsea Wolfe,Hiss Spun,03/10/2017,7.2
Galcher Lustwerk,Dark Bliss,03/10/2017,7.6
Acephalix,Decreation,03/10/2017,7.4
The World Is a Beautiful Place & I Am No Longer Afraid to Die,Always Foreign,02/10/2017,8
Wolf Alice,Visions of a Life,02/10/2017,7
Protomartyr,Relatives in Descent,02/10/2017,6.9
Florist,If Blue Could Be Happiness,02/10/2017,7.7
Klein,Tommy EP ,02/10/2017,7.6
DJ Jazzy Jeff & The Fresh Prince,"He's the DJ, I'm the Rapper",01/10/2017,7.2
Shania Twain,Now,30/09/2017,6.6
Lone,DJ-Kicks,30/09/2017,7.6
God Mother,Vilseledd,30/09/2017,6.4
Valee,VTM,30/09/2017,7.3
Miley Cyrus,Younger Now ,29/09/2017,4.7
Ben Frost,The Centre Cannot Hold ,29/09/2017,7.8
Amadou & Mariam,La Confusion,29/09/2017,7.7
Knox Fortune,Paradise,29/09/2017,7.1
Kamasi Washington,Harmony of Difference EP,28/09/2017,8.5
Kevin Gates,By Any Means 2,28/09/2017,7.5
L'Rain,L'Rain ,28/09/2017,6.8
Chain and the Gang,Experimental Music,28/09/2017,7.7
Moses Sumney,Aromanticism,27/09/2017,8.6
The Horrors,V,27/09/2017,7.1
Van Morrison,Roll With the Punches,27/09/2017,6.4
Wand,Plum,27/09/2017,7.9
Macklemore,Gemini,26/09/2017,5.4
Young Thug,Young Martha EP,26/09/2017,7.2
Wolves in the Throne Room,Thrice Woven,26/09/2017,5.2
Laraaji,Sun Gong ,26/09/2017,7.3
Mastodon,Cold Dark Place EP,25/09/2017,7
Midland,Fabriclive 94 ,25/09/2017,8
DJ Python ,Dulce Compania ,25/09/2017,7.6
Isaac Hayes,The Spirit of Memphis (1962-1976),25/09/2017,8.6
Shannon Lay ,Living Water,25/09/2017,7.8
Elastica,Elastica,24/09/2017,8.5
The Rolling Stones,Their Satanic Majesties Request,23/09/2017,7.8
Metz,Strange Peace,23/09/2017,7.6
Phoebe Bridgers,Stranger in the Alps,23/09/2017,7
Yves Tumor,Experiencing the Deposit of Faith,23/09/2017,7.8
The Killers,Wonderful Wonderful,22/09/2017,6.3
The Clientele,Music for the Age of Miracles,22/09/2017,6.7
Linda Perhacs,I'm a Harmony,22/09/2017,7
Acetone,1992-2001,22/09/2017,8
Godspeed You! Black Emperor,Luciferian Towers,21/09/2017,7.3
Hiss Golden Messenger,Hallelujah Anyhow,21/09/2017,7.9
The Blow,Brand New Abyss,21/09/2017,5.8
Koran Streets,You.Know.I.Got.It (The Album),21/09/2017,7.8
Cut Copy,Haiku From Zero,20/09/2017,6.3
Tricky,ununiform,20/09/2017,5.1
Chad VanGaalen,Light Information,20/09/2017,7.4
Lee Ranaldo,Electric Trim ,20/09/2017,6.5
Prophets of Rage,Prophets of Rage,19/09/2017,4.6
Open Mike Eagle,Brick Body Kids Still Daydream,19/09/2017,8.1
Corbin,Mourn,19/09/2017,6.8
Hope Sandoval & the Warm Inventions,Son of a Lady EP,19/09/2017,6.9
Foo Fighters,Concrete and Gold ,18/09/2017,6.5
Buy Muy Drugs,Buy Muy Drugs,18/09/2017,6.8
Marius,Existence Problem EP,18/09/2017,7.1
Nosaj Thing,Parallels,18/09/2017,6.4
Deftones,White Pony,17/09/2017,8.4
Rostam,Half-Light,16/09/2017,7.2
The Necessaries,Event Horizon,16/09/2017,8.3
Geinoh Yamashirogumi,Akira (Symphonic Suite),16/09/2017,8.4
Roscoe Mitchell,Discussions,16/09/2017,7.8
Galantis,The Aviary,16/09/2017,6.4
Ariel Pink,Dedicated to Bobby Jameson,15/09/2017,8.2
Angelo Badalamenti,Blue Velvet (Original Motion Picture Soundtrack),15/09/2017,8
Michael McDonald,Wide Open,15/09/2017,5.8
Shenandoah Davis,Souvenirs,15/09/2017,7.6
Hundred Waters,Communicating,14/09/2017,7.5
Deer Tick,Deer Tick Vol. 1,14/09/2017,6.6
BIG|BRAVE,Ardor,14/09/2017,7.6
Tony Humphries,Running Back Mastermix,14/09/2017,7.3
Tori Amos,Native Invader,13/09/2017,7.5
Lunice,CCCLX,13/09/2017,5.7
Greg Fox,The Gradual Progression,13/09/2017,7.7
Sparks,Hippopotamus,13/09/2017,7.1
Neil Young,Hitchhiker,12/09/2017,8.4
Princess Nokia,1992 Deluxe,12/09/2017,6.2
Odesza,A Moment Apart,12/09/2017,5.8
Partner,In Search of Lost Time,12/09/2017,7.5
Mount Kimbie,Love What Survives,11/09/2017,8.4
Ted Leo,The Hanged Man,11/09/2017,7.7
Death From Above,Outrage! Is Now,11/09/2017,7.3
Lomelda,Thx,11/09/2017,8
Pierre Kwenders,"MAKANDA at the End of Space, the Beginning of Time ",11/09/2017,7.9
King Crimson,Red,10/09/2017,9
The Dream Syndicate,How Did I Find Myself Here?,09/09/2017,6.9
Alex Cameron,Forced Witness,09/09/2017,7.8
The Waterboys,Out of All This Blue,09/09/2017,6.3
The National,Sleep Well Beast,08/09/2017,8
Fifth Harmony,Fifth Harmony,08/09/2017,5.3
Deerhoof,Mountain Moves,08/09/2017,7.7
Maximum Joy,I Can't Stand It Here on Quiet Nights: Singles 1981-82,08/09/2017,8.4
Alvvays,Antisocialites,07/09/2017,7.3
The Pains of Being Pure at Heart,The Echo of Pleasure,07/09/2017,6.8
Kedr Livanskiy,Ariadna,07/09/2017,7.4
D33J,Death Valley Oasis,07/09/2017,6.8
Zola Jesus,Okovi,06/09/2017,8.3
BROCKHAMPTON,Saturation II,06/09/2017,7.2
David Rawlings,Poor David's Almanack,06/09/2017,8
Tony Allen,The Source,06/09/2017,7.7
Various Artist,Twin Peaks (Music From the Limited Event Series) ,05/09/2017,7.5
Mogwai,Every Country's Sun,05/09/2017,7.6
Hercules and Love Affair,Omnion,05/09/2017,7.7
Superchunk,Superchunk,05/09/2017,8.3
Harry Nilsson,Popeye: Original Motion Picture Soundtrack,04/09/2017,8
Nelly,Country Grammar ,03/09/2017,8.1
The Verve,Urban Hymns,02/09/2017,8.6
A Giant Dog,Toy,02/09/2017,7.4
Martin Glass,The Pacific Visions of Martin Glass,02/09/2017,6.4
Greet Death,Dixieland,02/09/2017,7.7
LCD Soundsystem,American Dream,01/09/2017,8.5
Deem Spencer,we think we alone EP,01/09/2017,6.5
Nadine Shah,Holiday Destination,01/09/2017,7.6
Tera Melos,Trash Generator,01/09/2017,7.4
XXXTentacion,17,31/08/2017,6.5
A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,31/08/2017,6
King Gizzard & The Lizard Wizard,Sketches of Brunswick East,31/08/2017,7.5
Liza Minnelli,Results,31/08/2017,7.4
Lil Uzi Vert,Luv Is Rage 2,30/08/2017,7.7
Wiki,No Mountains in Manhattan,30/08/2017,8.1
Hype Williams,Rainbow Edition,30/08/2017,6.4
Bicep,Bicep,30/08/2017,7.4
Action Bronson,Blue Chips 7000,29/08/2017,7.4
Kodak Black,Project Baby 2,29/08/2017,6
Various Artist,Afrobeat Hot Hits: New Urban Dance Grooves From Africa,29/08/2017,7.5
Alex Chilton,A Man Called Destruction,29/08/2017,6.7
Queens of the Stone Age,Villains,28/08/2017,6.9
Liars,TFCF,28/08/2017,7.5
Dave East,Paranoia,28/08/2017,7
Underworld,Beaucoup Fish,28/08/2017,7.4
Joe Bataan,Gypsy Woman,27/08/2017,8.2
D'Angelo,Brown Sugar,26/08/2017,9.2
Filthy Friends,Invitation,26/08/2017,6.5
Daniel Caesar,Freudian,26/08/2017,7.3
B12,Electro-Soma I + II,26/08/2017,7.7
The War on Drugs,A Deeper Understanding,25/08/2017,8.7
EMA,Exile in the Outer Ring,25/08/2017,8
Turnover,Good Nature,25/08/2017,7.3
Joseph Shabason,Aytche,25/08/2017,7.6
Lil B,Black Ken,24/08/2017,8.5
Iron & Wine,Beast Epic,24/08/2017,7.5
Sannhet,So Numb,24/08/2017,8
Vijay Iyer Sextet,Far From Over,24/08/2017,7.7
Brand New,Science Fiction,23/08/2017,8.3
Rainer Maria,S/T,23/08/2017,7.6
Oh Sees,Orc,23/08/2017,7.4
Maya Jane Coles,Take Flight,23/08/2017,6
Alice Glass,Alice Glass EP,22/08/2017,6.8
Various Artist,Tropical Drums of Deutschland,22/08/2017,7.4
Khalil,The Water We Drink,22/08/2017,7.2
TOBACCO,Ripe & Majestic,22/08/2017,7.7
A$AP Ferg,Still Striving,21/08/2017,6.1
Cloakroom,Time Well,21/08/2017,7.3
Mozzy,1 Up Top Ahk,21/08/2017,7.6
Various Artist,Terra Incognita,21/08/2017,7.2
Tears for Fears,Songs From the Big Chair,20/08/2017,8.9
Link Wray,Link Wray,19/08/2017,9.1
Samantha Urbani,Policies of Power EP,19/08/2017,7.2
Blondes,Warmth,19/08/2017,7.3
Trailer Trash Tracys,Althaea,19/08/2017,6
Grizzly Bear,Painted Ruins,18/08/2017,7.3
Everything Everything,A Fever Dream,18/08/2017,7.1
Dent May,Across the Multiverse,18/08/2017,6.1
inc. no world,Living EP,18/08/2017,6.5
Lil Peep,Come Over When You're Sober (Part One),17/08/2017,7.3
The Cars,Candy-O,17/08/2017,8.5
Myke Bogan,Pool Party,17/08/2017,6.7
BOSCO,b. ,17/08/2017,7.4
Madonna,Madonna,16/08/2017,8.2
Madonna,Like a Prayer,16/08/2017,9
Madonna,Bedtime Stories,16/08/2017,6.5
Madonna,Ray of Light,16/08/2017,8.1
YoungBoy Never Broke Again,AI YoungBoy,15/08/2017,7.6
Dean Hurley,Anthology Resource: Vol. 1 ^^,15/08/2017,6.5
Tyshawn Sorey,Verisimilitude,15/08/2017,7.6
Tall Friend,Safely Nobody's,15/08/2017,6.8
Oneohtrix Point Never,Good Time: Original Soundtrack Motion Picture,14/08/2017,7.7
Aesop Rock,Bushwick (Original Motion Picture Soundtrack),14/08/2017,7.3
Amy O,Elastic,14/08/2017,6.7
House of Feelings,Last Chance,14/08/2017,6.9
Fiona Apple,Tidal,13/08/2017,9
A$AP Twelvyy,12,12/08/2017,6.4
The Yawpers,Boy in a Well,12/08/2017,7.1
Dale Crover,The Fickle Finger of Fate,12/08/2017,7
The Districts,Popular Manipulations,12/08/2017,6.7
Kesha,Rainbow,11/08/2017,6.8
Guided by Voices,How Do You Spell Heaven,11/08/2017,7.4
Lal & Mike Waterson,Bright Phoebus,11/08/2017,8.5
Photay ,Onism,11/08/2017,7.9
Frankie Rose,Cage Tropical,10/08/2017,7.7
Nadia Sirota,Tessellatum,10/08/2017,7.2
Katie Von Schleicher,Shitty Hits,10/08/2017,7.1
milo,who told you to think??!!?!?!?!,10/08/2017,7.5
Downtown Boys,Cost of Living,09/08/2017,7.5
Naomi Punk,Yellow ,09/08/2017,5.6
Various Artist,"Soul of a Nation -- Afro-Centric Visions in the Age of Black Power: Underground Jazz, Street Funk, & the Roots of Rap 1964-79",09/08/2017,8
Stas THEE Boss,S'WOMEN,09/08/2017,6.7
Ty Segall,Fried Shallots EP,08/08/2017,7.1
Flash Trading,The Golden Mile EP,08/08/2017,7
Wifisfuneral,Boy Who Cried Wolf,08/08/2017,6
Moon King,Hamtramck '16,08/08/2017,5.4
Randy Newman,Dark Matter,07/08/2017,8
Konx-om-Pax,Refresher EP,07/08/2017,7.3
Caroline Says,"50,000,000 Elvis Fans Can't Be Wrong",07/08/2017,7.2
Manchester Orchestra,A Black Mile to the Surface,07/08/2017,7
Sparklehorse,Good Morning Spider,06/08/2017,9.1
BADBADNOTGOOD,Late Night Tales,05/08/2017,7.6
Dead Cross,Dead Cross,05/08/2017,6.2
Soccer Mommy,Collection,05/08/2017,6.7
Sote,Sacred Horror in Design,05/08/2017,7.8
Ben Frost,Threshold of Faith EP,04/08/2017,6.8
Julia Michaels,Nervous System EP,04/08/2017,6.6
Briana Marela,Call It Love,04/08/2017,6.9
Joywave,Content,04/08/2017,5.9
Brian Eno,Here Come the Warm Jets,03/08/2017,9.5
People Like You,Verse,03/08/2017,7.2
Couch Slut,Contempt,03/08/2017,7.7
Tchornobog,Tchornobog,03/08/2017,7.4
Romeo Santos,Golden,02/08/2017,7.6
Nav,Perfect Timing,02/08/2017,4.8
Joe Henderson,The Elements,02/08/2017,8.6
Mhysa,fantasii ,02/08/2017,7.8
Amine,Good for You,01/08/2017,7.3
WizKid,Sounds from the Other Side,01/08/2017,7.4
Various Artist,La Torre Ibiza -- Volumen Dos,01/08/2017,7.8
Declan McKenna,What Do You Think About the Car?,01/08/2017,5.9
Vic Mensa,The Autobiography,31/07/2017,6.9
Ross From Friends,The Outsiders EP,31/07/2017,6.6
Pan Daijing,Lack,31/07/2017,7.6
Denitia,Ceilings,31/07/2017,7.2
Silver Jews,American Water,30/07/2017,9.4
The Fall,New Facts Emerge,29/07/2017,6.8
Sontag Shogun,Patterns for Resonant Space,29/07/2017,7.3
Sudan Archives,Sudan Archives,29/07/2017,7.3
DJ Bone,Riding the Thin Line EP,29/07/2017,7.6
Arcade Fire,Everything Now ,28/07/2017,5.6
Suicideyear,Hate Songs EP,28/07/2017,7.3
Jeremy Greenspan,Greenspan and Taraval EP,28/07/2017,6.9
Golden Retriever,Rotations,28/07/2017,8
Meek Mill,Wins and Losses,27/07/2017,7.4
Snail Mail,Habit EP,27/07/2017,7.7
Pickwick,LoveJoys,27/07/2017,6.6
Lory D,Strange Days,27/07/2017,7.5
Nine Inch Nails,Add Violence EP,26/07/2017,7.3
Gal Costa,India,26/07/2017,8.5
This Is the Kit,Moonshine Freeze,26/07/2017,7.3
Quindar,Hip Mobility,26/07/2017,6.8
Lana Del Rey,Lust for Life,25/07/2017,7.7
Avey Tare,Eucalyptus,25/07/2017,7.6
Bedouine,Bedouine,25/07/2017,7.5
Jana Rush,Pariah,25/07/2017,7.9
Foster the People,Sacred Hearts Club,24/07/2017,5.5
Daphni,Fabriclive 93,24/07/2017,7.6
The Beacon Sound Choir,Sunday Songs,24/07/2017,7.7
Us and Us Only,Full Flower,24/07/2017,6.7
Stereolab,Dots and Loops,23/07/2017,9.2
Ramones,Leave Home,22/07/2017,9.5
Psychic TV,Pagan Day,22/07/2017,6.7
Lo Tom,Lo Tom,22/07/2017,6.2
Bjorn Torske,Square One,22/07/2017,7.3
"Tyler, the Creator",Flower Boy,21/07/2017,8.5
Dizzee Rascal,Raskit,21/07/2017,7
Burnt Friedman,Dead Saints Chronicles,21/07/2017,7.8
Patricia,Several Shades of the Same Color,21/07/2017,6.9
Cornelius,Mellow Waves,20/07/2017,7.7
Terrace Martin Presents the Pollyseeds,"Sounds of Crenshaw, Vol. 1",20/07/2017,7.6
Cousin Stizz,One Night Only,20/07/2017,6.9
Holy Shit,Solid Rain,20/07/2017,7.2
French Montana,Jungle Rules,19/07/2017,6.5
SQURL,EP #260,19/07/2017,6.8
Jean - Jacques Perrey,Jean - Jacques Perrey et son Ondioline,19/07/2017,7.6
Art Feynman,Blast Off Through the Wicker,19/07/2017,7
Japanese Breakfast,Soft Sounds From Another Planet,18/07/2017,8
Mura Masa,Mura Masa,18/07/2017,7.7
Coca Leaf,Deep Marble Sunrise,18/07/2017,7.1
Claude Speeed,Infinity Ultra,18/07/2017,7.4
Coldplay,Kaleidoscope,17/07/2017,5.8
Dasher,Sodium ,17/07/2017,7.8
Mr Jukes,God First,17/07/2017,5.8
Mike Cooper,Raft,17/07/2017,6.8
SW.,The Album,17/07/2017,8
Guns N' Roses,Appetite for Destruction,16/07/2017,10
Shabazz Palaces,Quazarz: Born on a Gangster Star,14/07/2017,7.6
Sheer Mag,Need to Feel Your Love,14/07/2017,8
Yoko Ono,Fly,14/07/2017,8.7
Integrity,"Howling, for the Nightmare Shall Consume",14/07/2017,7.7
Waxahatchee,Out in the Storm ,13/07/2017,8.2
Moon Diagrams,Lifetime of Love,13/07/2017,7
DJ Shadow,The Mountain Has Fallen,13/07/2017,6.5
Boris,Dear,13/07/2017,7.3
21 Savage,Issa Album,12/07/2017,6.5
Public Enemy,Nothing Is Quick in the Desert,12/07/2017,6
Ex Eye,Ex Eye,12/07/2017,8.1
Great Grandpa,Plastic Cough,12/07/2017,6.7
Toro Y Moi,Boo Boo ,11/07/2017,6.9
Chronixx,Chronology,11/07/2017,7.6
Nidia,"Nidia e Ma, Nidia e Fudida",11/07/2017,7.8
Roscoe Mitchell,Bells for the South Side,11/07/2017,7.3
Broken Social Scene,Hug of Thunder,10/07/2017,8.4
Kacy Hill,Like a Woman ,10/07/2017,5.1
Brightness,Teething,10/07/2017,7.4
Heaven in Her Arms,White Halo,10/07/2017,7.7
Sau Poler,Dribble EP,10/07/2017,7.8
Metallica,Metallica,09/07/2017,7.7
DJ Khaled,Grateful,08/07/2017,5.2
Porter Ricks,Anguilla Electrica,08/07/2017,8
Pep Llopis,Poiemusia La Nau Dels Argonautes,08/07/2017,7.6
Conway,Reject on Steroids,08/07/2017,6.8
Haim,Something to Tell You,07/07/2017,7.8
Calvin Harris,Funk Wav Bounces Vol. 1,07/07/2017,6.7
Baio,Man of the World,07/07/2017,5.6
Portugal. The Man,Woodstock,07/07/2017,6.6
Beach House,B-Sides and Rarities,06/07/2017,6.9
TLC,TLC,06/07/2017,7.4
James Elkington,Wintres Woma,06/07/2017,7.8
Steffi,Fabric 94,06/07/2017,7.7
JAY-Z,4:44,05/07/2017,8.4
Clams Casino,Instrumentals 4,05/07/2017,7.4
Lapalux,Ruinism,05/07/2017,7.2
Guerilla Toss,GT Ultra,05/07/2017,7.5
Marvin Gaye,"Here, My Dear",02/07/2017,8.7
The Beach Boys,1967 - Sunshine Tomorrow,01/07/2017,8.1
Algiers,The Underside of Power,01/07/2017,5.8
Bill Orcutt,Bill Orcutt,01/07/2017,7.6
White Suns,Psychic Drift,01/07/2017,7.4
MIKE,May God Bless Your Hustle,30/06/2017,8.3
Nicholas Britell,Moonlight (Official Motion Picture Soundtrack),30/06/2017,7.7
Ennanga Vision,Ennanga Vision,30/06/2017,7.2
Turtlenecked,Vulture,30/06/2017,6
Washed Out,Mister Mellow,29/06/2017,6.7
King Gizzard & The Lizard Wizard,Murder of the Universe,29/06/2017,8
David Bowie,Cracked Actor (Live Los Angeles '74),29/06/2017,8
