artist,album,metascore,userscore,release_date
Call Super,Fabric 92,83,tbd,"Feb 17, 2017"
Clap! Clap!,A Thousand Skies,76,tbd,"Feb 17, 2017"
Visible Cloaks,Reassemblage,80,7.0,"Feb 17, 2017"
Eisley,I'm Only Dreaming,72,tbd,"Feb 17, 2017"
Various Artists,New Order Presents Be Music,78,tbd,"Feb 17, 2017"
Rag 'n' Bone Man,Human,64,5.8,"Feb 10, 2017"
Noveller,Pink Sunset for No One,69,tbd,"Feb 10, 2017"
Tinariwen,Elwan,86,7.8,"Feb 10, 2017"
Teen Daze,Themes for Dying Earth,76,7.3,"Feb 10, 2017"
Jesca Hoop,Memories Are Now,83,8.0,"Feb 10, 2017"
Chuck Prophet,Bobby Fuller Died for Your Sins,80,8.8,"Feb 10, 2017"
Lowly,Heba,79,tbd,"Feb 10, 2017"
The Sadies,Northern Passages,81,tbd,"Feb 10, 2017"
Vermont,II,72,tbd,"Feb 10, 2017"
Thievery Corporation,Temple of I & I,65,6.3,"Feb 10, 2017"
Sinkane,Life & Livin' It,74,6.8,"Feb 10, 2017"
Lupe Fiasco,Drogas Light,56,6.6,"Feb 10, 2017"
Black Joe Lewis & the Honeybears,Backlash,72,tbd,"Feb 10, 2017"
Andrew McMahon in the Wilderness,Zombies on Broadway,74,7.2,"Feb 10, 2017"
The Necks,Unfold,79,tbd,"Feb 10, 2017"
Nadine Khouri,The  Salted Air,75,tbd,"Feb 10, 2017"
Meatbodies,Alice,75,tbd,"Feb 10, 2017"
Sallie Ford,Soul Sick,72,tbd,"Feb 10, 2017"
The Godfathers,A Big Bad Beautiful Noise,78,tbd,"Feb 10, 2017"
Blackfield,Blackfield V,67,7.5,"Feb 10, 2017"
Tall Ships,Impressions,81,8.3,"Feb 10, 2017"
Overkill,The Grinding Wheel,71,tbd,"Feb 10, 2017"
Dave Hause,Bury Me In Philly,77,tbd,"Feb  3, 2017"
Elbow,Little Fictions,80,7.8,"Feb  3, 2017"
Duke Garwood,Garden of Ashes,79,7.0,"Feb  3, 2017"
Sampha,Process,86,8.0,"Feb  3, 2017"
Moon Duo,"Occult Architecture, Vol. 1",72,6.8,"Feb  3, 2017"
Original Soundtrack,T2: Trainspotting [Original Motion Picture Soundtrack],80,tbd,"Feb  3, 2017"
Surfer Blood,Snowdonia,67,7.0,"Feb  3, 2017"
The Menzingers,After the Party,80,8.0,"Feb  3, 2017"
Eliza Carthy,Big Machine,82,7.4,"Feb  3, 2017"
Fufanu,Sports,61,6.4,"Feb  3, 2017"
Less Than Jake,Sound the Alarm [EP],65,7.2,"Feb  3, 2017"
Black Star Riders,Heavy Fire,84,tbd,"Feb  3, 2017"
Iron Reagan,Crossover Ministry,72,tbd,"Feb  3, 2017"
Homeshake,Fresh Air,76,7.6,"Feb  3, 2017"
Big Sean,I Decided.,67,6.9,"Feb  3, 2017"
Porcelain Raft,Microclimate,76,tbd,"Feb  3, 2017"
Communions,Blue,70,tbd,"Feb  3, 2017"
Syd,Fin,81,8.0,"Feb  3, 2017"
Ralph Towner,My Foolish Heart,76,tbd,"Feb  3, 2017"
Ron Gallo,Heavy Meta,72,tbd,"Feb  3, 2017"
Lower Than Atlantis,Safe in Sound,74,tbd,"Feb  3, 2017"
New Gen,New Gen,74,tbd,"Feb  3, 2017"
Egyptrixx,"Pure, Beyond Reproach",71,tbd,"Jan 27, 2017"
Julie Byrne,Not Even Happiness,82,8.0,"Jan 27, 2017"
Cloud Nothings,Life Without Sound,79,7.5,"Jan 27, 2017"
Horse Thief,Trials & Truths,62,tbd,"Jan 27, 2017"
Mark Eitzel,Hey Mr Ferryman,80,7.1,"Jan 27, 2017"
James Johnston,The Starless Room,76,tbd,"Jan 27, 2017"
Piano Magic,Closure,81,7.8,"Jan 27, 2017"
Japandroids,Near to the Wild Heart of Life,79,7.7,"Jan 27, 2017"
Menace Beach,Lemon Memory,67,tbd,"Jan 27, 2017"
Toothless,The Pace of the Passing,67,tbd,"Jan 27, 2017"
Ty Segall,Ty Segall (2017),82,7.9,"Jan 27, 2017"
Sacred Paws,Strike a Match,81,7.8,"Jan 27, 2017"
Mike Oldfield,Return to Ommadawn,64,7.9,"Jan 27, 2017"
Allison Crutchfield,Tourist in This Town,82,7.8,"Jan 27, 2017"
Tift Merritt,Stitch of the World,77,tbd,"Jan 27, 2017"
Sleater-Kinney,Live in Paris,83,7.6,"Jan 27, 2017"
Priests,Nothing Feels Natural,83,7.8,"Jan 27, 2017"
Emptyset,Borders,81,7.8,"Jan 27, 2017"
Minor Victories,Orchestral Variations,73,tbd,"Jan 27, 2017"
Kehlani,SweetSexySavage,76,8.5,"Jan 27, 2017"
Ariel Pink,Myths 002 [EP],70,tbd,"Jan 27, 2017"
Migos,C U L T U R E,79,7.4,"Jan 27, 2017"
Delicate Steve,This Is Steve,67,tbd,"Jan 27, 2017"
Charlie Cunningham,Lines,70,tbd,"Jan 27, 2017"
Fred Thomas,Changer,74,tbd,"Jan 27, 2017"
Omar,Love in Beats,81,tbd,"Jan 27, 2017"
Kreator,Gods of Violence,73,tbd,"Jan 27, 2017"
Delbert McClinton,Prick of the Litter,80,tbd,"Jan 27, 2017"
Deaf Havana,All These Countless Nights,73,7.9,"Jan 27, 2017"
Chris Thile,Chris Thile & Brad Mehldau,78,tbd,"Jan 27, 2017"
Whitney Rose,South Texas Suite [EP],76,tbd,"Jan 27, 2017"
Matthew Dear,DJ-Kicks,82,tbd,"Jan 27, 2017"
Led Bib,Umbrella Weather,77,tbd,"Jan 27, 2017"
T.S.O.L.,The Trigger Complex,67,tbd,"Jan 27, 2017"
Bleachers,Gone Now,71,8.0,"Jun  2, 2017"
Richard Pinhas,Reverse,81,tbd,"Jan 27, 2017"
Bic Runga,Close Your Eyes,56,tbd,"Jan 27, 2017"
Coldharbourstores,Wilderness,77,tbd,"Jan 27, 2017"
Jimmy Scott,I Go Back Home,71,tbd,"Jan 27, 2017"
John Mayall,Talk About That,70,tbd,"Jan 27, 2017"
P.O.S,"Chill, Dummy",83,7.8,"Jan 27, 2017"
Tobin Sprout,The Universe and Me,78,tbd,"Jan 27, 2017"
Matthew Shipp,Piano Song,77,tbd,"Jan 27, 2017"
Ronika,Lose My Cool,77,tbd,"Jan 20, 2017"
Benjamin Booker,Witness,79,6.6,"Jun  2, 2017"
Amber Coffman,City of No Reply,78,7.5,"Jun  2, 2017"
TOPS,Sugar at the Gate,70,7.0,"Jun  2, 2017"
Hey Colossus,The Guillotine,79,tbd,"Jun  2, 2017"
Mick Harvey,Intoxicated Women,79,6.8,"Jan 20, 2017"
Tycho,Epoch,76,7.0,"Jan 20, 2017"
H. Hawkline,I Romanticize,84,tbd,"Jun  2, 2017"
U2,The Joshua Tree [30th Anniversary Super Deluxe Edition],90,8.8,"Jun  2, 2017"
Halsey,Hopeless Fountain Kingdom,66,8.0,"Jun  2, 2017"
Austra,Future Politics,74,7.2,"Jan 20, 2017"
Foxygen,Hang,76,7.9,"Jan 20, 2017"
Vitalic,Voyager,68,7.2,"Jan 20, 2017"
AFI,AFI (The Blood Album),77,6.4,"Jan 20, 2017"
Michael Chapman,50,82,tbd,"Jan 20, 2017"
The Proper Ornaments,Foxhole,69,6.4,"Jan 20, 2017"
Omar Souleyman,To Syria with Love,70,tbd,"Jun  2, 2017"
Arve Henriksen,Towards Language,82,tbd,"Jun  2, 2017"
Peaking Lights,The Fifth State of Consciousness,75,tbd,"Jun  2, 2017"
All Time Low,Last Young Renegade,82,7.4,"Jun  2, 2017"
'68,Two Parts Viper,92,tbd,"Jun  2, 2017"
Flogging Molly,Life is Good,61,tbd,"Jun  2, 2017"
William Basinski,A Shadow in Time,84,7.5,"Jan 20, 2017"
Frank Carter & the Rattlesnakes,Modern Ruin,74,7.5,"Jan 20, 2017"
Joan of Arc,He's Got the Whole This Land Is Your Land in His Hands,60,5.3,"Jan 20, 2017"
Rose Elinor Dougall,Stellular,80,7.2,"Jan 20, 2017"
Cherry Glazerr,Apocalipstick,76,8.1,"Jan 20, 2017"
Throwing Snow,Embers,75,7.8,"Jan 20, 2017"
North Mississippi Allstars,Prayer for Peace,80,tbd,"Jun  2, 2017"
Dauwd,Theory of Colours,85,tbd,"Jun  2, 2017"
Binker & Moses,Journey to the Mountain of Forever,80,tbd,"Jun  2, 2017"
Justin Townes Earle,Kids In The Street,78,tbd,"May 26, 2017"
The Charlatans UK,Different Days,74,7.2,"May 26, 2017"
Sam Amidon,The Following Mountain,73,tbd,"May 26, 2017"
The Unthanks,Diversions Vol. 4: The Songs and Poems of Molly Drake,81,tbd,"May 26, 2017"
The Amazons,The Amazons,64,7.3,"May 26, 2017"
The Heliocentrics,A  World of Masks,79,7.7,"May 26, 2017"
Crescent,Resin Pockets,79,tbd,"May 26, 2017"
The Beatles,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition Deluxe Version],100,8.3,"May 26, 2017"
Danzig,Black Laden Crown,61,2.5,"May 26, 2017"
Leftfield,Leftism 22 [Reissue],89,6.2,"May 26, 2017"
Kid Koala,Music to Draw To: Satellite,74,tbd,"Jan 20, 2017"
Loyle Carner,Yesterday's Gone,84,8.1,"Jan 20, 2017"
Avec le Soleil Sortant de Sa Bouche,"Pas Pire Pop, I Love You So Much",78,tbd,"Jan 20, 2017"
Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Feed the Rats,72,tbd,"Jan 20, 2017"
Uniform,Wake in Fright,80,tbd,"Jan 20, 2017"
Bash & Pop,Anything Could Happen,74,tbd,"Jan 20, 2017"
Shintaro Sakamoto,Love If Possible,76,tbd,"Jan 20, 2017"
A Winged Victory for the Sullen,Iris [Original Motion Picture Soundtrack],74,tbd,"Jan 13, 2017"
The Flaming Lips,Oczy Mlody,69,6.8,"Jan 13, 2017"
The xx,I See You,85,8.1,"Jan 13, 2017"
Sohn,Rennen,67,7.1,"Jan 13, 2017"
Soft Error,Mechanism,61,tbd,"Jan 13, 2017"
Flo Morrissey,"Gentlewoman, Ruby Man",73,6.4,"Jan 13, 2017"
Lil Yachty,Teenage Emotions,63,4.0,"May 26, 2017"
Gucci Mane,DropTopWop [Mixtape],72,7.7,"May 26, 2017"
Bryson Tiller,True to Self,63,5.7,"May 26, 2017"
Coldcut,Outside the Echo Chamber,81,tbd,"May 26, 2017"
Jaco Pastorius,"Truth, Liberty & Soul: Live in NYC: The Complete 1982 NPR Jazz Alive! Recording",85,tbd,"May 26, 2017"
Bill Frisell,Small Town [Live],79,tbd,"May 26, 2017"
Erasure,World Be Gone,69,6.3,"May 19, 2017"
Tigers Jaw,Spin,69,tbd,"May 19, 2017"
Various Artists,Singles [Original Motion Picture Soundtrack] [Deluxe Edition],93,7.6,"May 19, 2017"
Jane Weaver,Modern Kosmology,84,7.4,"May 19, 2017"
The Mountain Goats,Goths,83,7.7,"May 19, 2017"
Sleep,The Sciences,86,tbd,"Apr 20, 2018"
Bonobo,Migration,77,7.9,"Jan 13, 2017"
Brandon Can't Dance,Graveyard of Good Times,64,tbd,"Jan 13, 2017"
Sepultura,Machine Messiah,76,7.5,"Jan 13, 2017"
Code Orange,Forever,87,6.6,"Jan 13, 2017"
Half Japanese,Hear the Lions Roar,73,tbd,"Jan 13, 2017"
Wiley,Godfather,84,7.8,"Jan 13, 2017"
Tornado Wallace,Lonely Planet,78,tbd,"Jan 13, 2017"
Mr. Tophat,Trust Me [EP],72,tbd,"Jan 13, 2017"
Dennis Coffey,Hot Coffey in the D: Burnin' at Morey Baker's Showplace Lounge,78,tbd,"Jan 13, 2017"
John Abercrombie Quartet,Up and Coming,80,tbd,"Jan 13, 2017"
Wavves,You're Welcome,71,7.0,"May 19, 2017"
Pokey LaFarge,Manic Revelations,80,tbd,"May 19, 2017"
Land of Talk,Life After Youth,79,7.8,"May 19, 2017"
(Sandy) Alex G,Rocket,82,8.1,"May 19, 2017"
Linkin Park,One More Light,46,5.0,"May 19, 2017"
Do Make Say Think,Stubborn Persistent Illusions,83,7.6,"May 19, 2017"
Nick Hakim,Green Twins,81,7.8,"May 19, 2017"
Jlin,Black Origami,89,7.2,"May 19, 2017"
Aldous Harding,Party,83,7.8,"May 19, 2017"
Low Cut Connie,"Dirty Pictures, Pt. 1",79,tbd,"May 19, 2017"
Lord Huron,Vide Noir,70,8.1,"Apr 20, 2018"
Alexis Taylor,Beautiful Thing,71,tbd,"Apr 20, 2018"
Old Crow Medicine Show,Volunteer,85,tbd,"Apr 20, 2018"
Drinks,Hippo Lite,74,tbd,"Apr 20, 2018"
A Perfect Circle,Eat the Elephant,71,7.1,"Apr 20, 2018"
Sting,44/876,49,5.4,"Apr 20, 2018"
Joshua Hedley,Mr. Jukebox,78,tbd,"Apr 20, 2018"
Tesseract,Sonder,68,7.7,"Apr 20, 2018"
The National Jazz Trio of Scotland,"Standards, Vol. IV",74,tbd,"Apr 20, 2018"
The Regrettes,Feel Your Feelings Fool!,82,7.6,"Jan 13, 2017"
The Blue Aeroplanes,"Welcome, Stranger!",77,7.0,"Jan  6, 2017"
Dropkick Murphys,11 Short Stories Of Pain & Glory,76,7.2,"Jan  6, 2017"
Sundara Karma,Youth Is Only Ever Fun in Retrospect,67,7.0,"Jan  6, 2017"
Gone Is Gone,Echolocation,66,6.8,"Jan  6, 2017"
You Me at Six,Night People,67,7.1,"Jan  6, 2017"
Brian Eno,Reflection,75,7.6,"Jan  1, 2017"
Sex Swing,Sex Swing,75,tbd,"Dec 30, 2016"
Kid Cudi,"Passion, Pain & Demon Slayin'",70,7.9,"Dec 28, 2016"
Run the Jewels,Run the Jewels 3,88,8.8,"Dec 25, 2016"
Hodgy,Fireplace: TheNotTheOtherSide,69,7.6,"Dec 23, 2016"
!!! [Chik Chik Chik],Shake the Shudder,65,7.0,"May 19, 2017"
Pumarosa,The Witch,84,7.4,"May 19, 2017"
Faith Evans and the Notorious B.I.G.,The King & I,48,6.7,"May 19, 2017"
Little Steven,Soulfire,74,tbd,"May 19, 2017"
She-Devils,She-Devils,71,tbd,"May 19, 2017"
Stevie Parker,The Cure,71,tbd,"May 19, 2017"
White Hills,Stop Mute Defeat,80,tbd,"May 19, 2017"
The Como Mamas,Move Upstairs,81,tbd,"May 19, 2017"
King Ayisoba,1000 Can Die,80,tbd,"May 19, 2017"
Los Straitjackets,What's So Funny About Peace Love and Los Straitjackets,79,tbd,"May 19, 2017"
BMX Bandits,BMX Bandits Forever,79,tbd,"May 19, 2017"
Ashley Monroe,Sparrow,89,tbd,"Apr 20, 2018"
Melvins,Pinkus Abortion Technician,69,tbd,"Apr 20, 2018"
Kimbra,Primal Heart,81,9.0,"Apr 20, 2018"
J. Cole,KOD,77,7.9,"Apr 20, 2018"
Neil Young,Paradox [Original Music from the Film],61,tbd,"Apr 20, 2018"
Neil Young,Roxy: Tonight's the Night Live,89,tbd,"Apr 20, 2018"
Say Sue Me,Where We Were Together,80,tbd,"Apr 13, 2018"
Novelist,Novelist Guy,77,tbd,"Apr 13, 2018"
Tinashe,Joyride,71,8.3,"Apr 13, 2018"
Manic Street Preachers,Resistance Is Futile,73,6.7,"Apr 13, 2018"
The Damned,Evil Spirits,75,tbd,"Apr 13, 2018"
John Prine,The Tree of Forgiveness,78,tbd,"Apr 13, 2018"
A Place to Bury Strangers,Pinned,68,tbd,"Apr 13, 2018"
Nine Inch Nails,Not the Actual Events [EP],74,7.7,"Dec 23, 2016"
Little Simz,Stillness In Wonderland,84,8.2,"Dec 16, 2016"
The Orchestra of Syrian Musicians,Africa Express Presents: The Orchestra of Syrian Musicians [Live],78,tbd,"Dec 16, 2016"
The Doors,London Fog 1966 [Live] [Box Set],63,tbd,"Dec 16, 2016"
Gucci Mane,The Return of East Atlanta Santa,70,5.9,"Dec 16, 2016"
Mica Levi,Jackie [Original Motion Picture Soundtrack],76,tbd,"Dec 16, 2016"
Taso,New Start,79,tbd,"Dec 16, 2016"
Ab-Soul,Do What Thou Wilt.,64,8.0,"Dec  9, 2016"
Neil Young,Peace Trail,57,4.4,"Dec  9, 2016"
Sun Ra,Singles: The Definitive 45's Collection,95,7.0,"Dec  9, 2016"
Richard Youngs,The Rest Is Scenery,72,tbd,"Dec  9, 2016"
Emily Barker,Sweet Kind of Blue,81,tbd,"May 19, 2017"
Man Forever,Play What They Want,81,tbd,"May 19, 2017"
Radiophonic Workshop,Burials in Several Earths,72,tbd,"May 19, 2017"
Demen,Nektyr,83,tbd,"May 19, 2017"
Daniel Romano,Modern Pressure,70,tbd,"May 19, 2017"
Oumou Sangare,Mogoya,86,tbd,"May 19, 2017"
DragonForce,Reaching Into Infinity,76,tbd,"May 19, 2017"
Laura Veirs,The Lookout,82,8.8,"Apr 13, 2018"
Mouse on Mars,Dimensional People,75,tbd,"Apr 13, 2018"
Josh T. Pearson,The Straight Hits!,64,tbd,"Apr 13, 2018"
Josh Rouse,Love in the Modern Age,70,tbd,"Apr 13, 2018"
Rival Consoles,Persona,90,9.1,"Apr 13, 2018"
Confidence Man,Confident Music for Confident People,77,tbd,"Apr 13, 2018"
J. Cole,4 Your Eyez Only,75,7.5,"Dec  9, 2016"
Various Artists,Action Time Vision: A Story of Independent U.K. Punk 1976-1979 [Box Set],85,tbd,"Dec  9, 2016"
Nina Kraviz,Fabric 91,81,tbd,"Dec  9, 2016"
Enemies,Valuables,82,tbd,"Dec  9, 2016"
Romans,Valere Aude,81,tbd,"Dec  9, 2016"
Ultrasound,Real Britannia,80,tbd,"Dec  2, 2016"
Jean Michel Jarre,Oxygene 3,65,8.5,"Dec  2, 2016"
Kate Bush,Before the Dawn [Live],84,8.3,"Dec  2, 2016"
Snoop Dogg,Neva Left,71,7.5,"May 19, 2017"
Luke Vibert,"Luke Vibert Presents UK Garave, Vol. 1",67,tbd,"May 19, 2017"
Paul Weller,A Kind Revolution,86,7.5,"May 12, 2017"
Girlpool,Powerplant,80,7.4,"May 12, 2017"
Jim Jones & The Righteous Mind,Super Natural,84,tbd,"May 12, 2017"
Pwr Bttm,Pageant,85,5.5,"May 12, 2017"
Will Stratton,Rosewood Almanac,74,tbd,"May 12, 2017"
Diagrams,Dorothy,78,tbd,"May 12, 2017"
L.A. Takedown,II,69,tbd,"May 12, 2017"
Todd Rundgren,White Knight,66,tbd,"May 12, 2017"
King Tuff,The Other,77,tbd,"Apr 13, 2018"
Mr. Fingers,Cerebral Hemispheres,78,tbd,"Apr 13, 2018"
Derek Smalls,Smalls Change (Meditations Upon Ageing),55,tbd,"Apr 13, 2018"
Slug,HiggledyPiggledy,77,tbd,"Apr 13, 2018"
Juliana Hatfield,Juliana Hatfield Sings Olivia Newton-John,65,tbd,"Apr 13, 2018"
Wreckless Eric,Construction Time & Demolition,84,tbd,"Apr  6, 2018"
The Wonder Years,Sister Cities,81,8.3,"Apr  6, 2018"
Kylie Minogue,Golden,63,8.5,"Apr  6, 2018"
Daniel Avery,Song for Alpha,84,6.9,"Apr  6, 2018"
Don Bryant,Don't Give Up on Love,83,tbd,"May 12, 2017"
Harry Styles,Harry Styles,68,7.3,"May 12, 2017"
Zac Brown Band,Welcome Home,58,4.3,"May 12, 2017"
Paramore,After Laughter,82,8.2,"May 12, 2017"
DREAMCAR,DREAMCAR,71,tbd,"May 12, 2017"
J Hus,Common Sense,84,7.1,"May 12, 2017"
Original Soundtrack,The Bob's Burgers Music Album [Original Television Soundtrack],77,tbd,"May 12, 2017"
Dion,Kickin Child: Lost Columbia Album 1965,94,tbd,"May 12, 2017"
Various Artists,"Sing It High, Sing It Low: Tumbleweed Records 1971-1973",77,tbd,"May 12, 2017"
Goat Girl,Goat Girl,80,8.6,"Apr  6, 2018"
Eels,The Deconstruction,72,6.4,"Apr  6, 2018"
Unknown Mortal Orchestra,Sex & Food,75,8.3,"Apr  6, 2018"
Hinds,I Don't Run,77,8.1,"Apr  6, 2018"
Wye Oak,"The Louder I Call, The Faster It Runs",81,7.6,"Apr  6, 2018"
Tom Misch,Geography,73,8.7,"Apr  6, 2018"
Manchester Orchestra,A Black Mile to the Surface,79,8.1,"Jul 28, 2017"
Colter Wall,Colter Wall,77,tbd,"May 12, 2017"
Machine Gun Kelly,Bloom,72,6.0,"May 12, 2017"
Blondie,Pollinator,71,8.1,"May  5, 2017"
Pond,The Weather,80,7.7,"May  5, 2017"
Black Lips,Satan's Graffiti or God's Art?,71,8.0,"May  5, 2017"
The Afghan Whigs,In Spades,79,6.9,"May  5, 2017"
Slowdive,Slowdive,82,8.1,"May  5, 2017"
Perfume Genius,No Shape,84,8.4,"May  5, 2017"
Mac DeMarco,This Old Dog,79,8.0,"May  5, 2017"
Moon Duo,"Occult Architecture, Vol. 2",71,6.8,"May  5, 2017"
"Bonnie ""Prince"" Billy",Best Troubador,78,tbd,"May  5, 2017"
Joan Shelley,Joan Shelley,82,7.3,"May  5, 2017"
Various Artists,Johnny Cash: Forever Words,75,tbd,"Apr  6, 2018"
Hop Along,"Bark Your Head Off, Dog",82,8.1,"Apr  6, 2018"
Sarah Shook & the Disarmers,Years,82,tbd,"Apr  6, 2018"
Kali Uchis,Isolation,88,9.2,"Apr  6, 2018"
Various Artists,Restoration: Reimagining the Songs of Elton John and Bernie Taupin,86,tbd,"Apr  6, 2018"
Various Artists,Revamp: Reimagining the Songs of Elton John and Bernie Taupin ,58,4.6,"Apr  6, 2018"
Dr. Octagon,Moosebumps: An Exploration Into Modern Day Horripilation,78,tbd,"Apr  6, 2018"
Cardi B,Invasion of Privacy,84,7.0,"Apr  6, 2018"
Sloan,12,73,tbd,"Apr  6, 2018"
Arthur Alexander,Arthur Alexander [Reissue],80,tbd,"Jul 28, 2017"
The Isley Brothers,Power of Peace,66,tbd,"Jul 28, 2017"
Katie von Schleicher,Shitty Hits,77,tbd,"Jul 28, 2017"
Vic Mensa,The Autobiography,71,7.4,"Jul 28, 2017"
Golden Retriever,Rotations,82,tbd,"Jul 28, 2017"
Fairport Convention,Come All Ye: The First Ten Years [Box Set],88,tbd,"Jul 28, 2017"
Juanita Stein,America,64,tbd,"Jul 28, 2017"
Elvis Presley,A Boy From Tupelo: The Complete 1953-1955 Recordings [Box Set],95,6.8,"Jul 28, 2017"
Sivu,Sweet Sweet Silent,63,tbd,"Jul 28, 2017"
Laucan,FramesPerSecond,64,tbd,"Jul 28, 2017"
Kasabian,For Crying Out Loud,70,7.2,"May  5, 2017"
Fazerdaze,Morningside,74,7.7,"May  5, 2017"
Chris Stapleton,"From a Room, Vol. 1",81,6.9,"May  5, 2017"
Amanda Palmer,I Can Spin a Rainbow,60,6.3,"May  5, 2017"
John Moreland,Big Bad Luv,84,tbd,"May  5, 2017"
Forest Swords,Compassion,79,7.8,"May  5, 2017"
Juana Molina,Halo,84,7.6,"May  5, 2017"
Motionless in White,Graveyard Shift,82,3.7,"May  5, 2017"
Carl Craig,Versus,78,tbd,"May  5, 2017"
Diana Krall,Turn Up the Quiet,71,tbd,"May  5, 2017"
Makeness,Loud Patterns,75,tbd,"Apr  6, 2018"
Lil Xan,Total Xanarchy,49,3.6,"Apr  6, 2018"
Blackberry Smoke,Find a Light,72,tbd,"Apr  6, 2018"
Mind Over Mirrors,Bellowing Sun,84,tbd,"Apr  6, 2018"
Project Pablo,There's Always More at the Store [EP],73,tbd,"Apr  6, 2018"
Thirty Seconds to Mars,America,47,4.4,"Apr  6, 2018"
Christina Vantzou,No. 4,74,tbd,"Apr  6, 2018"
Saba,Care For Me,92,8.4,"Apr  5, 2018"
The Weeknd,"My Dear Melancholy, [EP]",65,7.8,"Mar 30, 2018"
Cath and Phil Tyler,The Ox And The Ax,81,tbd,"Mar 30, 2018"
Kate Nash,Yesterday Was Forever,62,8.1,"Mar 30, 2018"
Chris Carter,Chemistry Lessons Volume 1,81,tbd,"Mar 30, 2018"
Trembling Bells,Dungeness,80,tbd,"Mar 30, 2018"
Toddla T,Foreign Light,60,tbd,"Jul 28, 2017"
Ben Gibbard,Bandwagonesque,79,tbd,"Jul 28, 2017"
Cage the Elephant,Unpeeled [Live],72,tbd,"Jul 28, 2017"
Various Artists,Noise Reduction System: Formative European Electronica 1974-1984 [Box Set],79,tbd,"Jul 28, 2017"
Pan Daijing,Lack,79,tbd,"Jul 28, 2017"
Ben Frost,Threshold of Faith [EP],79,tbd,"Jul 27, 2017"
Damian Marley,Stony Hill,72,7.2,"Jul 21, 2017"
Nine Inch Nails,Add Violence [EP],77,7.4,"Jul 21, 2017"
Christopher Merrick Hughes,Eirenic Life,74,tbd,"Jul 21, 2017"
Mr. Jukes,God First,72,tbd,"Jul 21, 2017"
Pete Fij,We Are Millionaires,76,tbd,"Jul 21, 2017"
Nick Cave & the Bad Seeds,"Lovely Creatures: The Best of Nick Cave and the Bad Seeds, 1984-2014 [Box Set]",95,8.2,"May  5, 2017"
Alice Coltrane,World Spirituality Classics 1: The Ecstatic Music of Alice Coltrane Turiyasangitananda,84,6.5,"May  5, 2017"
Nite Jewel,Real High,79,tbd,"May  5, 2017"
Penguin Cafe,The Imperfect Sea,76,tbd,"May  5, 2017"
Oxbow,The Thin Black Duke,87,7.8,"May  5, 2017"
Hoops,Routines,77,tbd,"May  5, 2017"
Logic,Everybody,65,6.5,"May  5, 2017"
Brother Ali,All the Beauty in This Whole Life,80,7.3,"May  5, 2017"
Nightlands,I Can Feel the Night Around Me,76,tbd,"May  5, 2017"
Ho99o9,United States of Horror,78,7.9,"May  5, 2017"
Wooden Wand,Clipper Ship,76,tbd,"May  5, 2017"
The Vaccines,Combat Sports,77,8.5,"Mar 30, 2018"
Ben Harper,No Mercy in This Land,70,tbd,"Mar 30, 2018"
Frankie Cosmos,Vessel,80,7.3,"Mar 30, 2018"
Sons of Kemet,Your Queen Is A Reptile,81,tbd,"Mar 30, 2018"
Kacey Musgraves,Golden Hour,90,8.8,"Mar 30, 2018"
Nicole Atkins,Goodnight Rhonda Lee,83,7.9,"Jul 21, 2017"
Childhood,Universal High,74,tbd,"Jul 21, 2017"
Daphni,Fabriclive 93,80,tbd,"Jul 21, 2017"
Foster the People,Sacred Hearts Club,56,7.9,"Jul 21, 2017"
Avey Tare,Eucalyptus,68,7.7,"Jul 21, 2017"
Cornelius,Mellow Waves,74,7.6,"Jul 21, 2017"
Big Walnuts Yonder,Big Walnuts Yonder,72,tbd,"May  5, 2017"
Faust,Fresh Air,76,tbd,"May  5, 2017"
Ian William Craig,Slow Vessels,72,tbd,"May  5, 2017"
Taj Mahal,TajMo,63,tbd,"May  5, 2017"
Bill MacKay,Esker,77,tbd,"May  5, 2017"
Jessica Moss,Pools of Light,78,tbd,"May  5, 2017"
Mark Lanegan Band,Gargoyle,83,7.4,"Apr 28, 2017"
Sufjan Stevens,Carrie & Lowell Live,91,tbd,"Apr 28, 2017"
Bill Baird,Easy Machines,84,tbd,"Apr 28, 2017"
L. Pierre,1948-,56,tbd,"Apr 28, 2017"
Bill Baird,Baby Blue Abyss,68,tbd,"Apr 28, 2017"
Orquesta Akokan,Orquesta Akokan,92,8.7,"Mar 30, 2018"
The Voidz,Virtue,68,8.5,"Mar 30, 2018"
Amen Dunes,Freedom,86,8.1,"Mar 30, 2018"
Czarface/MF Doom,Czarface Meets Metal Face,72,8.3,"Mar 30, 2018"
Bettye LaVette,Things Have Changed,83,tbd,"Mar 30, 2018"
Ashley McBryde,Girl Going Nowhere,85,tbd,"Mar 30, 2018"
Lindi Ortega,Liberty,77,tbd,"Mar 30, 2018"
Hayley Kiyoko,Expectations,68,8.4,"Mar 30, 2018"
Daphne & Celeste,Daphne & Celeste Save the World,84,tbd,"Mar 30, 2018"
Cabbage,Nihilistic Glamour Shots,74,tbd,"Mar 30, 2018"
Holy Wave,Adult Fear,72,tbd,"Mar 30, 2018"
Declan McKenna,What Do You Think About the Car?,76,8.2,"Jul 21, 2017"
The Chris Robinson Brotherhood,Barefoot in the Head,85,7.2,"Jul 21, 2017"
